种群规模,交叉率,变异率,选择策略,交叉策略,变异策略,最短距离,耗时(秒)
50,0.7,0.05,default,ox,swap,578.32,3.39
50,0.7,0.05,default,ox,inverse,570.03,3.379
50,0.7,0.05,default,obx,swap,642.94,2.259
50,0.7,0.05,default,obx,inverse,620.2,2.136
50,0.7,0.05,truncation,ox,swap,505.71,2.518
50,0.7,0.05,truncation,ox,inverse,478.37,2.689
50,0.7,0.05,truncation,obx,swap,642.55,2.152
50,0.7,0.05,truncation,obx,inverse,527.47,2.067
50,0.7,0.05,tournament,ox,swap,522.23,3.019
50,0.7,0.05,tournament,ox,inverse,459.89,3.342
50,0.7,0.05,tournament,obx,swap,620.63,2.334
50,0.7,0.05,tournament,obx,inverse,473.28,2.481
50,0.7,0.05,ranking,ox,swap,713.09,3.286
50,0.7,0.05,ranking,ox,inverse,598.97,3.323
50,0.7,0.05,ranking,obx,swap,615.86,2.116
50,0.7,0.05,ranking,obx,inverse,581.02,2.131
50,0.7,0.2,default,ox,swap,676.02,3.326
50,0.7,0.2,default,ox,inverse,539.32,3.321
50,0.7,0.2,default,obx,swap,541.15,2.057
50,0.7,0.2,default,obx,inverse,557.83,2.086
50,0.7,0.2,truncation,ox,swap,565.91,2.507
50,0.7,0.2,truncation,ox,inverse,510.38,2.509
50,0.7,0.2,truncation,obx,swap,603.38,2.075
50,0.7,0.2,truncation,obx,inverse,466.51,2.132
50,0.7,0.2,tournament,ox,swap,530.51,2.863
50,0.7,0.2,tournament,ox,inverse,458.57,2.826
50,0.7,0.2,tournament,obx,swap,546.17,2.377
50,0.7,0.2,tournament,obx,inverse,458.57,2.407
50,0.7,0.2,ranking,ox,swap,722.9,3.363
50,0.7,0.2,ranking,ox,inverse,637.14,3.461
50,0.7,0.2,ranking,obx,swap,658.9,2.11
50,0.7,0.2,ranking,obx,inverse,523.8,2.095
50,0.9,0.05,default,ox,swap,618.82,4.202
50,0.9,0.05,default,ox,inverse,696.07,4.191
50,0.9,0.05,default,obx,swap,699.71,2.58
50,0.9,0.05,default,obx,inverse,500.99,2.557
50,0.9,0.05,truncation,ox,swap,466.7,3.124
50,0.9,0.05,truncation,ox,inverse,482.59,3.222
50,0.9,0.05,truncation,obx,swap,739.19,2.498
50,0.9,0.05,truncation,obx,inverse,496.66,2.523
50,0.9,0.05,tournament,ox,swap,567.82,3.435
50,0.9,0.05,tournament,ox,inverse,459.89,3.486
50,0.9,0.05,tournament,obx,swap,674.86,3.765
50,0.9,0.05,tournament,obx,inverse,522.14,3.4
50,0.9,0.05,ranking,ox,swap,708.94,5.399
50,0.9,0.05,ranking,ox,inverse,656.73,4.981
50,0.9,0.05,ranking,obx,swap,658.42,3.578
50,0.9,0.05,ranking,obx,inverse,808.9,3.265
50,0.9,0.2,default,ox,swap,663.56,5.09
50,0.9,0.2,default,ox,inverse,550.67,4.924
50,0.9,0.2,default,obx,swap,693.9,2.609
50,0.9,0.2,default,obx,inverse,491.1,2.556
50,0.9,0.2,truncation,ox,swap,592.19,3.421
50,0.9,0.2,truncation,ox,inverse,466.66,3.462
50,0.9,0.2,truncation,obx,swap,558.17,3.002
50,0.9,0.2,truncation,obx,inverse,510.24,3.169
50,0.9,0.2,tournament,ox,swap,534.62,3.79
50,0.9,0.2,tournament,ox,inverse,459.89,4.3
50,0.9,0.2,tournament,obx,swap,569.17,3.943
50,0.9,0.2,tournament,obx,inverse,451.77,3.741
50,0.9,0.2,ranking,ox,swap,721.44,5.294
50,0.9,0.2,ranking,ox,inverse,698.95,4.159
50,0.9,0.2,ranking,obx,swap,825.44,3.082
50,0.9,0.2,ranking,obx,inverse,741.43,3.669
100,0.7,0.05,default,ox,swap,585.47,8.421
100,0.7,0.05,default,ox,inverse,582.24,8.591
100,0.7,0.05,default,obx,swap,540.11,5.243
100,0.7,0.05,default,obx,inverse,451.77,5.567
100,0.7,0.05,truncation,ox,swap,551.3,6.165
